,tomato,medicago,Group Number,Species 1 Score,Species 2 Score,Total Score
0,LOC101245541,LOC11432144,0,0.610132935026139,0.5948526647581042,0.6024927998921216
1,LOC101249449,LOC11432144,0,0.4477430918595967,0.5075966571238542,0.47766987449172543
2,GPA1,LOC11432413,1,0.8624107542942495,0.8232555449524305,0.84283314962334
3,LOC101260909,LOC11439919,2,0.9559551904406273,0.9667216101327317,0.9613384002866795
4,LOC101260909,LOC25502581,2,0.9344286781179985,0.9675139527486192,0.9509713154333088
5,LOC101262196,LOC25502274,3,0.941209858103062,0.9905670744050202,0.9658884662540411
6,LOC101253967,LOC11445193,4,0.9783719193427931,0.9883982533761315,0.9833850863594623
7,LOC101257571,LOC11414990,5,0.8443375653472741,0.8366572523768672,0.8404974088620707
8,LOC101258001,LOC11414900,6,0.8370843913368186,0.9249125242185016,0.8809984577776601
9,Xpo1,LOC11435528,7,0.9878297236743838,0.9863862300749607,0.9871079768746722
10,Xpo1,LOC11437746,7,0.9679880507841674,0.9803585141487459,0.9741732824664566
11,LOC101250327,LOC25502792,9,0.9370097087378642,0.955651947601284,0.9463308281695741
12,LOC101250327,LOC11422377,9,0.9412457057505601,0.9244209247852868,0.9328333152679235
13,LOC101250327,LOC25495274,9,0.9209858103061986,0.9842109829096903,0.9525983966079445
14,LOC101264394,LOC25502792,9,0.979513069454817,0.9745293658367311,0.977021217645774
15,LOC101264394,LOC11422377,9,0.9783778939507095,0.9721928226482751,0.9752853582994923
16,LOC101264394,LOC25495274,9,0.9884331590739358,0.9706486220757063,0.9795408905748211
17,LOC101254065,LOC25502792,9,0.9578909634055266,0.9561261964662677,0.9570085799358972
18,LOC101254065,LOC11422377,9,0.9710649738610904,0.9656458749024031,0.9683554243817467
19,LOC101254065,LOC25495274,9,0.976890216579537,0.9474219947369943,0.9621561056582657
20,LOC101250591,LOC11415599,10,0.9871904406273337,0.9723316271941238,0.9797610339107288
21,LOC101254819,LOC25485596,11,0.8388050784167289,0.8369552644515774,0.8378801714341532
22,LOC101254819,LOC25493765,11,0.9495265123226289,0.901090194037188,0.9253083531799084
23,LOC101254819,LOC11405491,11,0.9262374906646751,0.9321824123073363,0.9292099514860057
24,LOC101254819,LOC11431728,11,0.7475847647498134,0.6261458604435962,0.6868653125967048
25,LOC101250212,LOC25485596,11,0.9287587752053772,0.8697333796015153,0.8992460774034463
26,LOC101250212,LOC25493765,11,0.8420074682598955,0.7193140742025967,0.7806607712312461
27,LOC101250212,LOC11405491,11,0.927091859596714,0.8811659581851305,0.9041289088909223
28,LOC101250212,LOC11431728,11,0.8030052277819267,0.5698721841473642,0.6864387059646455
29,LOC101249263,LOC25485596,11,0.7613575636876608,0.7715219340100055,0.7664397488488331
30,LOC101249263,LOC25493765,11,0.9026968716289104,0.8402706688644054,0.8714837702466579
31,LOC101249263,LOC11405491,11,0.8474383868558626,0.8212833636968278,0.8343608752763452
32,LOC101249263,LOC11431728,11,0.7882432993112605,0.6978543130620861,0.7430488061866733
33,LOC101248971,LOC25485596,11,0.25952501867064975,0.5346866776553599,0.39710584816300487
34,LOC101248971,LOC25493765,11,0.28158924570575056,0.4270437523495561,0.35431649902765333
