,tomato,sorghum,Group Number,Species 1 Score,Species 2 Score,Total Score
0,GPA1,LOC8082019,0,0.8235310764441615,0.8390693417371317,0.8313002090906465
1,LOC101260909,LOC8078015,1,0.8873111889348757,0.9340905072441158,0.9107008480894958
2,LOC101262196,LOC110433463,2,0.9720400438643036,0.9693004808609039,0.9706702623626038
3,LOC101260971,LOC8054192,3,0.6972018819201246,0.7910317881299815,0.7441168350250531
4,LOC101253967,LOC8056089,4,0.9953871732286249,0.9863958313831945,0.9908915023059097
5,LOC101257571,LOC8081451,5,0.630768686547101,0.7737292895254142,0.7022489880362577
6,LOC101258001,LOC8055441,6,0.8724539247939439,0.9521170707354364,0.9122854977646901
7,Xpo1,LOC8057329,7,0.960005659910149,0.9428687322537365,0.9514371960819428
8,Xpo1,LOC8059248,7,0.9902720294315328,0.977912294022001,0.9840921617267668
9,LOC101252151,LOC110432811,8,0.9938094732746118,0.9963306187400544,0.9950700460073331
10,LOC101250327,LOC8082455,9,0.9349251830627189,0.8686573684046304,0.9017912757336746
11,LOC101250327,LOC8054614,9,0.9525133538505076,0.9724796405504071,0.9624964972004574
12,LOC101264394,LOC8082455,9,0.9300293607838975,0.9215825766794595,0.9258059687316785
13,LOC101264394,LOC8054614,9,0.988220312002547,0.9863459078286374,0.9872831099155922
14,LOC101254065,LOC8082455,9,0.9211716014008277,0.9167711941090205,0.9189713977549241
15,LOC101254065,LOC8054614,9,0.9805440588630655,0.97311616587101,0.9768301123670378
16,LOC101250591,LOC110436820,10,0.9772542360890021,0.9710006552466535,0.9741274456678277
17,LOC101254819,LOC8055479,11,0.8438996780926104,0.930444007613342,0.8871718428529762
18,LOC101254819,LOC8061389,11,0.9624464961618735,0.9315485662579176,0.9469975312098955
19,LOC101254819,LOC110431750,11,0.9650854292688104,0.8427844862554215,0.9039349577621159
20,LOC101254819,LOC8085247,11,0.8334005447663518,0.6312417444122022,0.732321144589277
21,LOC101250212,LOC8055479,11,0.8939403586968057,0.967842990420918,0.9308916745588618
22,LOC101250212,LOC8061389,11,0.878552477979412,0.9192611313925552,0.8989068046859836
23,LOC101250212,LOC110431750,11,0.8846793307156249,0.8107398046740928,0.8477095676948588
24,LOC101250212,LOC8085247,11,0.6471682762036153,0.5526121459847941,0.5998902110942047
25,LOC101249263,LOC8055479,11,0.5944391382786799,0.7552872164498112,0.6748631773642455
26,LOC101249263,LOC8061389,11,0.8853231454950653,0.8585603294954601,0.8719417374952627
27,LOC101249263,LOC110431750,11,0.8541441154621671,0.820924209803738,0.8375341626329526
28,LOC101249263,LOC8085247,11,0.8833138773921965,0.7793482895982193,0.8313310834952079
29,LOC101248971,LOC8055479,11,0.21833103399483533,0.6193703391681488,0.41885068658149205
30,LOC101248971,LOC8061389,11,0.2619618663553716,0.4185216387406784,0.340241752548025
31,LOC101248971,LOC110431750,11,0.5445045809897768,0.6108022091172891,0.577653395053533
32,LOC101248971,LOC8085247,11,0.5597226644027026,0.6086166668400124,0.5841696656213575
33,LOC101265942,LOC8055479,11,0.9382716049382716,0.9315485662579176,0.9349100855980945
34,LOC101265942,LOC8061389,11,0.9487353638260992,0.9514930263034729,0.950114195064786
35,LOC101265942,LOC110431750,11,0.9147900527079132,0.8423663764860058,0.8785782145969595
36,LOC101265942,LOC8085247,11,0.7003855813788956,0.541420949171581,0.6209032652752383
37,LOC101245634,LOC8055479,11,0.33687077717641234,0.6915098755031358,0.514190326339774
38,LOC101245634,LOC8061389,11,0.6752697300930348,0.8873412586976193,0.781305494395327
39,LOC101245634,LOC110431750,11,0.5930949096183098,0.8475833879372211,0.7203391487777655
40,LOC101245634,LOC8085247,11,0.8019385192260073,0.7544627844169172,0.7782006518214623
41,LOC101256097,LOC8055479,11,0.9117054016767484,0.9597054510281131,0.9357054263524307
42,LOC101256097,LOC8061389,11,0.8657752308182107,0.9619083278729446,0.9138417793455776
43,LOC101256097,LOC110431750,11,0.870982348155223,0.8418858622733938,0.8564341052143084
44,LOC101256097,LOC8085247,11,0.5723725635855531,0.542558096803159,0.5574653301943561
45,LOC101247227,LOC8060460,12,0.8795005129293572,0.7961746076320634,0.8378375602807102
46,LOC101259582,LOC8085799,13,0.8329053026283209,0.8064803547345905,0.8196928286814557
47,LOC101265154,LOC8068430,14,0.59480703243836,0.5721613778901058,0.5834842051642328
48,LOC101265154,LOC110434870,14,0.6966641904559765,0.6919092639395925,0.6942867271977845
49,LOC101261099,LOC8068430,14,0.49362906363861475,0.7659833380136666,0.6298062008261407
50,LOC101261099,LOC110434870,14,0.276578584314974,0.557671066179912,0.417124825247443
51,LOC101263788,LOC8068430,14,0.5855601542325516,0.7446722206621111,0.6651161874473314
52,LOC101263788,LOC110434870,14,0.34291273126039123,0.5759618084807638,0.45943726987057754
53,LOC101264607,LOC8060170,15,0.8153666560543351,0.6486629848045181,0.7320148204294266
54,LOC101264607,LOC8074059,15,0.7988680179702148,0.6509095447595868,0.7248887813649008
55,LOC101247771,LOC8060170,15,0.633902861792069,0.7584324003869075,0.6961676310894882
56,LOC101247771,LOC8074059,15,0.7642293678587853,0.8194577053886236,0.7918435366237044
57,LOC101254555,LOC8079144,16,0.9704340443595458,0.9787200848700427,0.9745770646147942
58,LOC101254555,LOC8067195,16,0.9666631292228235,0.9815158039252394,0.9740894665740314
59,LOC101254555,LOC8083955,16,0.9697831546924193,0.9721052138912291,0.9709441842918242
60,LOC544138,LOC8079144,16,0.9540627542537763,0.968236138413055,0.9611494463334156
61,LOC544138,LOC8067195,16,0.9508153808058296,0.9671503011014384,0.9589828409536341
62,LOC544138,LOC8083955,16,0.9401181506243589,0.9646603638179039,0.9523892572211314
63,LOC101260246,LOC8082355,17,0.7738936644380771,0.7518071286675612,0.762850396552819
64,LOC101267493,LOC8073557,18,0.9084085040149987,0.8387018489049753,0.873555176459987
65,LOC101246350,LOC8067880,19,0.9476882804485479,0.952825707857066,0.950256994152807
66,LOC101246350,LOC8055473,19,0.2994304715412643,0.44785796748728507,0.3736442195142747
67,LOC101246350,LOC8078886,19,0.9539566309384839,0.935548691066804,0.944752661002644
68,LOC101267143,LOC8067880,19,0.9519880434398104,0.885962813885682,0.9189754286627462
69,LOC101267143,LOC8055473,19,0.22835084368035657,0.0826609254578926,0.1555058845691246
70,LOC101267143,LOC8078886,19,0.9138367115922035,0.9086898187150925,0.911263265153648
71,LOC101263643,LOC8067880,19,0.8993990275959924,0.8734333884572582,0.8864162080266254
72,LOC101263643,LOC8055473,19,0.4348225971912696,0.2617242347655153,0.34827341597839245
73,LOC101263643,LOC8078886,19,0.8514391500701592,0.8214359262379481,0.8364375381540536
74,LOC101252786,LOC8067880,19,0.9630867734974707,0.9372453985390427,0.9501660860182567
75,LOC101252786,LOC8055473,19,0.3183699458771092,0.3393990452120191,0.3288844955445641
76,LOC101252786,LOC8078886,19,0.9676147016166118,0.8951730163187619,0.9313938589676869
77,LOC101247411,LOC8067880,19,0.9110097043876094,0.9253053484074732,0.9181575263975413
78,LOC101247411,LOC8055473,19,0.32079112966303885,0.2224968017722862,0.2716439657176625
79,LOC101247411,LOC8078886,19,0.8961524402466777,0.8485194545851665,0.8723359474159221
80,LOC101245609,LOC8067880,19,0.6403278705093414,0.8678863268398044,0.7541070986745728
81,LOC101245609,LOC8055473,19,0.5091089178959284,0.12157633623513994,0.3153426270655342
82,LOC101245609,LOC8078886,19,0.5160726287755896,0.6942993541140129,0.6051859914448012
83,LOC101248904,LOC8067880,19,0.988715554140578,0.9395820982453951,0.9641488261929865
84,LOC101248904,LOC8055473,19,0.25889667126534366,0.33419451464944305,0.29654559295739336
85,LOC101248904,LOC8078886,19,0.9903516219180021,0.9160473025679429,0.9531994622429725
86,LOC101253645,LOC8067880,19,0.931011001450352,0.9384380167867952,0.9347245091185736
87,LOC101253645,LOC8055473,19,0.27971452828186355,0.39759118849262065,0.33865285838724213
88,LOC101253645,LOC8078886,19,0.9024992040751353,0.8571000655246653,0.8797996347999003
89,LOC101266105,LOC8058072,20,0.8953553362340373,0.8104527442353896,0.8529040402347134
90,LOC109120010,LOC8080039,21,0.7226820899218225,0.5063288506141638,0.6145054702679931
91,LOC101245101,LOC8080039,21,0.7696593441579115,0.5057949459334838,0.6377271450456976
