,tomato,rice_jp,Group Number,Species 1 Score,Species 2 Score,Total Score
0,GPA1,Os05g0333200,0,0.8918468799688279,0.923518616442191,0.9076827482055094
1,LOC101260909,Os08g0137200,1,0.9034270379657736,0.88956421661638,0.8964956272910768
2,LOC101262196,Os01g0575500,2,0.9915387209830921,0.9714765622569909,0.9815076416200414
3,LOC101260971,Os03g0668400,3,0.8114469227046764,0.7126815764098416,0.762064249557259
4,LOC101257571,Os03g0284500,5,0.7695595065266438,0.705514946032536,0.7375372262795898
5,LOC101258001,Os02g0592300,6,0.8105524027392842,0.9171171731624623,0.8638347879508732
6,Xpo1,Os03g0858100,7,0.8343143724429193,0.9741142803819715,0.9042143264124454
7,LOC101252151,Os09g0439500,8,0.9382517267168186,0.982232728856263,0.9602422277865408
8,LOC101250327,Os09g0361400,9,0.5631516431305266,0.6822980497060562,0.6227248464182914
9,LOC101250327,Os01g0588200,9,0.9338700453125687,0.9754766866776571,0.9546733659951129
10,LOC101264394,Os09g0361400,9,0.7010910210725441,0.7326884195464867,0.7168897203095154
11,LOC101264394,Os01g0588200,9,0.958756763890722,0.9793461693987371,0.9690514666447295
12,LOC101254065,Os09g0361400,9,0.6740085737050234,0.7954648667143613,0.7347367202096924
13,LOC101254065,Os01g0588200,9,0.9357656455452418,0.9659460636411709,0.9508558545932063
14,LOC101250591,Os05g0180600,10,0.9515991377414104,0.9536533018134312,0.9526262197774208
15,LOC101254819,Os03g0854800,11,0.8394923232589855,0.869115680114467,0.8543040016867263
16,LOC101254819,Os10g0577800,11,0.9345827284325371,0.8704656443435255,0.9025241863880313
17,LOC101254819,Os06g0248400,11,0.8113809335269015,0.8002986095990544,0.8058397715629779
18,LOC101254819,Os03g0230300,11,0.9270159693810215,0.6524993001337522,0.7897576347573869
19,LOC101254819,Os04g0672200,11,0.6440983678676697,0.8614202619055025,0.7527593148865861
20,LOC101250212,Os03g0854800,11,0.9622321939201971,0.8768048772901179,0.9195185356051575
21,LOC101250212,Os10g0577800,11,0.8249307113633364,0.7885844038694827,0.8067575576164095
22,LOC101250212,Os06g0248400,11,0.9581408648981568,0.8236710317583751,0.890905948328266
23,LOC101250212,Os03g0230300,11,0.47111873652720954,0.5320103269153006,0.501564531721255
24,LOC101250212,Os04g0672200,11,0.9542035106242576,0.9081837693240847,0.9311936399741712
25,LOC101249263,Os03g0854800,11,0.7552429972913014,0.6743289060312918,0.7147859516612967
26,LOC101249263,Os10g0577800,11,0.8697122243380657,0.7554449594077576,0.8125785918729116
27,LOC101249263,Os06g0248400,11,0.7781443843209713,0.6712432735077296,0.7246938289143505
28,LOC101249263,Os03g0230300,11,0.8820804816581509,0.7750474353790164,0.8285639585185837
29,LOC101249263,Os04g0672200,11,0.5780526279404463,0.7044511493359047,0.6412518886381755
30,LOC101248971,Os03g0854800,11,0.19578549117944655,0.4978070857569442,0.3467962884681954
31,LOC101248971,Os10g0577800,11,0.3511328142184682,0.5375905937976297,0.444361704008049
32,LOC101248971,Os06g0248400,11,0.3433548897980731,0.45893184858004915,0.4011433691890611
33,LOC101248971,Os03g0230300,11,0.4568562755708064,0.6059473078478335,0.5314017917093199
34,LOC101248971,Os04g0672200,11,0.32786942941357616,0.5839808392173941,0.4559251343154851
35,LOC101265942,Os03g0854800,11,0.9742862170604021,0.9074248032598214,0.9408555101601117
36,LOC101265942,Os10g0577800,11,0.8782499670054111,0.846427571619646,0.8623387693125286
37,LOC101265942,Os06g0248400,11,0.9750120980159254,0.8653892811596007,0.920200689587763
38,LOC101265942,Os03g0230300,11,0.3890941885530773,0.592634296556658,0.49086424255486766
39,LOC101265942,Os04g0672200,11,0.986230258237649,0.8744595477308781,0.9303449029842635
40,LOC101245634,Os03g0854800,11,0.7338700453125687,0.7304239634203241,0.7321470043664464
41,LOC101245634,Os10g0577800,11,0.9075359641018873,0.8292575196740178,0.8683967418879526
42,LOC101245634,Os06g0248400,11,0.7351194404117725,0.6818439142741609,0.7084816773429667
43,LOC101245634,Os03g0230300,11,0.9272799260921208,0.7981399110392237,0.8627099185656723
44,LOC101245634,Os04g0672200,11,0.4963969908934935,0.6994867647516252,0.5979418778225594
45,LOC101256097,Os03g0854800,11,0.8892173683515903,0.8637158231982331,0.8764665957749117
46,LOC101256097,Os10g0577800,11,0.8406141392811579,0.8140906404553797,0.8273523898682689
47,LOC101256097,Os06g0248400,11,0.8698077515287492,0.8491710473109584,0.8594893994198538
48,LOC101256097,Os03g0230300,11,0.5876380273635124,0.6126224765933622,0.6001302519784373
49,LOC101256097,Os04g0672200,11,0.8647045884474945,0.8909515070453202,0.8778280477464073
50,LOC101247227,Os04g0589200,12,0.8313854305671647,0.7854303399794705,0.8084078852733176
51,LOC101259582,Os01g0252200,13,0.8643174519378821,0.9338738720056956,0.8990956619717889
