,tomato,apple,Group Number,Species 1 Score,Species 2 Score,Total Score
0,GPA1,LOC103455774,1,0.6512365020875286,0.7044376412692054,0.677837071678367
1,GPA1,LOC103441000,1,0.8542740720315734,0.6894731989865176,0.7718736355090454
2,LOC101260909,LOC103448937,2,0.671521319529742,0.7709523491618424,0.7212368343457922
3,LOC101260909,LOC103432065,2,0.7565287143107814,0.9203513490315013,0.8384400316711413
4,LOC101262196,LOC103409844,3,0.9164515077833204,0.9094827997291446,0.9129671537562325
5,LOC101262196,LOC103455486,3,0.9790840498333041,0.9512803639380847,0.9651822068856943
6,LOC101260971,LOC103427948,4,0.5951018975760158,0.7891333581299533,0.6921176278529846
7,LOC101260971,LOC103445800,4,0.7808086631739904,0.863700609424623,0.8222546362993067
8,LOC101253967,LOC103422885,5,0.983856816985436,0.9872850562215673,0.9855709366035017
9,LOC101253967,LOC103424256,5,0.9712230215827338,0.9768933649967098,0.9740581932897218
10,LOC101257571,LOC103446925,6,0.7998061481128687,0.890257789476696,0.8450319687947823
11,LOC101257571,LOC103447818,6,0.7059606670064645,0.7945466510257218,0.7502536590160931
12,LOC101258001,LOC103449151,7,0.7511927740037935,0.8733026236731424,0.8122476988384679
13,Xpo1,LOC103420803,8,0.9523475296417918,0.9599668106778062,0.9561571701597991
14,Xpo1,LOC103417898,8,0.9713132629784673,0.9010672083774427,0.936190235677955
15,LOC101252151,LOC103451376,9,0.9883187526633745,0.9836056192955852,0.9859621859794798
16,LOC101250327,LOC103402924,10,0.9336976411901837,0.9219701232519177,0.9278338822210508
17,LOC101250327,LOC103404410,10,0.9160604617351416,0.9172778397693279,0.9166691507522347
18,LOC101250327,LOC103442327,10,0.8933898177625147,0.9078614822656481,0.9006256500140815
19,LOC101250327,LOC103451865,10,0.9571453638482942,0.8606398163778496,0.9088925901130719
20,LOC101264394,LOC103402924,10,0.9694766834615931,0.8728918899157233,0.9211842866886581
21,LOC101264394,LOC103404410,10,0.9595167071917379,0.9416166760448755,0.9505666916183066
22,LOC101264394,LOC103442327,10,0.9462033160927704,0.9073655498650491,0.9267844329789098
23,LOC101264394,LOC103451865,10,0.9348785779738578,0.8722370048226247,0.9035577913982412
24,LOC101254065,LOC103402924,10,0.8736620459729777,0.8233622309328298,0.8485121384529037
25,LOC101254065,LOC103404410,10,0.9100142882209911,0.9369371087776857,0.9234756984993384
26,LOC101254065,LOC103442327,10,0.9008046524452912,0.9084273538509469,0.904616003148119
27,LOC101254065,LOC103451865,10,0.8381971774496778,0.8313543723117126,0.8347757748806952
28,LOC101250591,LOC103403025,11,0.8714611585992529,0.8958770850619439,0.8836691218305983
29,LOC101250591,LOC103451982,11,0.8961171132780188,0.8708445792363277,0.8834808462571733
30,LOC101254819,LOC103410385,12,0.9032612237735944,0.9126682116868378,0.9079647177302161
