,tomato,maize,Group Number,Species 1 Score,Species 2 Score,Total Score
0,GPA1,Zm00001d027886,1,0.8050281371044362,0.9162696529689033,0.8606488950366697
1,LOC101253967,Zm00001d016581,5,0.9896952422714317,0.9352510905134992,0.9624731663924655
2,LOC101258001,Zm00001d050929,7,0.9820799532266316,0.9312454525323463,0.956662702879489
3,Xpo1,Zm00001d034914,8,0.9887305415479062,0.977613278078306,0.9831719098131061
4,Xpo1,Zm00001d012815,8,0.981363736022802,0.9769594972214314,0.9791616166221166
5,LOC101252151,Zm00001d005814,9,0.9774062705547029,0.9675049824428205,0.9724556264987616
6,LOC101254065,Zm00001d044318,10,0.8246729518380472,0.7991901553256778,0.8119315535818625
7,LOC101254065,Zm00001d020219,10,0.9549221661916246,0.9613249958699328,0.9581235810307787
8,LOC101250327,Zm00001d044318,10,0.7406270554702916,0.6319066147859922,0.6862668351281419
9,LOC101250327,Zm00001d020219,10,0.8138273770371994,0.8767623084791158,0.8452948427581577
10,LOC101264394,Zm00001d044318,10,0.8504626178469633,0.7799310366644523,0.8151968272557077
11,LOC101264394,Zm00001d020219,10,0.9481429511072134,0.956938337217354,0.9525406441622837
12,LOC101250591,Zm00001d050219,11,0.9625833933661164,0.9378887096263958,0.9502360514962561
13,LOC101254819,Zm00001d047993,12,0.7153067936229524,0.7027110815855241,0.7090089376042382
14,LOC101254819,Zm00001d028307,12,0.7434585147367432,0.7743443737939325,0.7589014442653379
15,LOC101254819,Zm00001d014423,12,0.9377141604284774,0.9256208281927177,0.9316674943105976
16,LOC101254819,Zm00001d052295,12,0.922704920600119,0.8550314763848028,0.8888681984924609
17,LOC101254819,Zm00001d012821,12,0.9470228959814576,0.9307772610800038,0.9389000785307307
18,LOC101256097,Zm00001d047993,12,0.6144120441423664,0.7446268703932176,0.6795194572677921
19,LOC101256097,Zm00001d028307,12,0.7023313600818534,0.7699534972003417,0.7361424286410976
20,LOC101256097,Zm00001d014423,12,0.9486516114887086,0.9271962291607352,0.9379239203247218
21,LOC101256097,Zm00001d052295,12,0.9399985383322371,0.8843314036253203,0.9121649709787787
22,LOC101256097,Zm00001d012821,12,0.9401300884308997,0.9362816741007877,0.9382058812658437
23,LOC101250212,Zm00001d047993,12,0.43839070379302786,0.65970706399671,0.5490488838948689
24,LOC101250212,Zm00001d028307,12,0.5354966016224512,0.6958020942077126,0.6156493479150819
25,LOC101250212,Zm00001d014423,12,0.8142731857048893,0.9380215747682769,0.8761473802365831
26,LOC101250212,Zm00001d052295,12,0.8675509756632317,0.9005409509348011,0.8840459632990164
27,LOC101250212,Zm00001d012821,12,0.7778995834246876,0.849311948372402,0.8136057658985447
28,LOC101249263,Zm00001d047993,12,0.9608243806182853,0.809414444338996,0.8851194124786407
29,LOC101249263,Zm00001d028307,12,0.949212891909669,0.8280345449368891,0.888623718423279
30,LOC101249263,Zm00001d014423,12,0.713036614777461,0.8548733035968492,0.7839549591871551
31,LOC101249263,Zm00001d052295,12,0.6121113790835343,0.6668438201891747,0.6394775996363544
32,LOC101249263,Zm00001d012821,12,0.7663407147555361,0.8501597545158331,0.8082502346356846
33,LOC101245634,Zm00001d047993,12,0.9731199298399473,0.831893960962956,0.9025069454014516
34,LOC101245634,Zm00001d028307,12,0.9761894321420741,0.8547151308088957,0.9154522814754849
35,LOC101245634,Zm00001d014423,12,0.6419206314404736,0.7874157729904148,0.7146682022154442
36,LOC101245634,Zm00001d052295,12,0.5233939925454945,0.6954288064281421,0.6094113994868182
37,LOC101245634,Zm00001d012821,12,0.7904845428634072,0.9071146120021512,0.8487995774327792
38,LOC101265942,Zm00001d047993,12,0.5980486735365051,0.6911707949764322,0.6446097342564687
39,LOC101265942,Zm00001d028307,12,0.6744902433676825,0.7329410648192085,0.7037156540934455
40,LOC101265942,Zm00001d014423,12,0.897325147993861,0.9247540413147323,0.9110395946542966
41,LOC101265942,Zm00001d052295,12,0.9403420302565227,0.8944671158773845,0.9174045730669536
42,LOC101265942,Zm00001d012821,12,0.912453409340057,0.9359083863212173,0.9241808978306372
43,LOC101248971,Zm00001d047993,12,0.34862968647226483,0.5171174591123343,0.43287357279229954
44,LOC101248971,Zm00001d028307,12,0.28721771541328656,0.4839517889342318,0.3855847521737592
45,LOC101248971,Zm00001d014423,12,0.6416136812102609,0.6588402771187244,0.6502269791644926
46,LOC101248971,Zm00001d052295,12,0.5074325805744354,0.49490367277213626,0.5011681266732858
47,LOC101248971,Zm00001d012821,12,0.49175619381714536,0.47143715795134605,0.4815966758842457
48,LOC101263788,Zm00001d011123,15,0.8717678871592488,0.8805289298029167,0.8761484084810828
49,LOC101263788,Zm00001d015737,15,0.356705400862384,0.4363544335832463,0.39652991722281516
50,LOC101263788,Zm00001d044526,15,0.8421398816049112,0.8869254373477586,0.864532659476335
51,LOC101261099,Zm00001d011123,15,0.9044946283709713,0.852462750308437,0.8784786893397041
52,LOC101261099,Zm00001d015737,15,0.3896294672221004,0.46813451013887575,0.4288819886804881
53,LOC101261099,Zm00001d044526,15,0.8898706424029817,0.904400366960868,0.8971355046819249
54,LOC101265154,Zm00001d011123,15,0.21014397427464737,0.7007434121033818,0.45544369318901456
55,LOC101265154,Zm00001d015737,15,0.8835343126507345,0.7802663629749138,0.8319003378128241
56,LOC101265154,Zm00001d044526,15,0.26549733245633267,0.7343962544683813,0.499946793462357
57,LOC101247771,Zm00001d003246,16,0.6903874463620133,0.8683826656684207,0.779385056015217
58,LOC101264607,Zm00001d003246,16,0.853163779872835,0.7639042667988288,0.8085340233358319
59,LOC544138,Zm00001d034223,17,0.9530992576815862,0.9641200847806143,0.9586096712311003
60,LOC101254555,Zm00001d034223,17,0.9666551821342437,0.9778874442440922,0.972271313189168
61,LOC101260246,Zm00001d043270,18,0.8476035957026967,0.8547467653664864,0.8511751805345915
62,LOC101267493,Zm00001d025644,19,0.7124126914523757,0.6909549769946467,0.7016838342235112
63,LOC101245609,Zm00001d002828,20,0.4689651392238544,0.805466451551675,0.6372157953877646
64,LOC101245609,Zm00001d050039,20,0.5713440035080026,0.801423555091582,0.6863837792997923
65,LOC101263643,Zm00001d002828,20,0.8236965577724183,0.782537724209927,0.8031171409911726
66,LOC101263643,Zm00001d050039,20,0.8933128699846525,0.71035399069944,0.8018334303420462
67,LOC101253645,Zm00001d002828,20,0.6614046627201637,0.6704944481351428,0.6659495554276533
68,LOC101253645,Zm00001d050039,20,0.9121391507710297,0.7655120053146056,0.8388255780428177
69,LOC101246350,Zm00001d002828,20,0.6893049769787327,0.7036790990477998,0.6964920380132662
70,LOC101246350,Zm00001d050039,20,0.7958605568954176,0.7937426845085571,0.7948016207019873
